"Site","Treatment","Seed_Arrival","PlotID","GNDVI_apr_21","LCI_apr_21","NDRE_apr_21","NDVI_apr_21","OSAVI_apr_21","GNDVI_oct_21","LCI_oct_21","NDRE_oct_21","NDVI_oct_21","OSAVI_oct_21"
3,"C","SA4",15,0.369440440125308,0.124012111982338,0.106537136051952,0.288959428719305,0.170625856527981,0.41439007184985,0.139302566063096,0.117735081897259,0.325472706257822,0.186399197510908
3,"SM+BC","SA3",16,0.350196890564505,0.132456173471616,0.115317320995658,0.281902380476963,0.183712075187328,0.274132107220209,0.0799776894775947,0.0712243005859364,0.202657355256604,0.122259600257508
3,"SM","SA1",17,0.37656643653111,0.142791036023256,0.121548589727736,0.317325684155836,0.209735085113243,0.289840200535394,0.0872854824898991,0.0773909270416241,0.213911275818325,0.135636503617682
3,"BC","SA2",18,0.355478385077594,0.132725836730027,0.114460956224323,0.292988040744121,0.187640199745767,0.315816228084416,0.101963732800797,0.0892225698101228,0.248447027092699,0.120934170324911
3,"C","SA4",19,0.347718038422042,0.131791676212919,0.114401375280513,0.284811286853455,0.181063546074294,0.371518034978805,0.127114476567409,0.108464021836286,0.298806525561309,0.178044958710892
3,"SM+BC","SA1",20,0.364067862137336,0.131957324477596,0.113068309267444,0.300015638421116,0.200015807365825,0.227224968768485,0.0632343436150349,0.057582700604873,0.161651020443652,0.0989677260706579
3,"BC","SA3",21,0.390373971155618,0.14721821839676,0.125975796509831,0.315223423337418,0.2244343962727,0.317318204609366,0.106885852054883,0.0929369000035312,0.255989080332027,0.117046175948187
3,"SM","SA4",22,0.400239229701684,0.15353913313256,0.130794366720166,0.326783489492269,0.19200832669356,0.335955105850875,0.105133719148621,0.0908383799452764,0.261486266052675,0.157710942943733
3,"BC","SA1",23,0.364173950769416,0.136333985212784,0.118300162128954,0.289069232045064,0.190777083082828,0.301947273986014,0.109963338736271,0.0970868597074921,0.24557122887035,0.103166516446406
3,"SM+BC","SA2",24,0.346455715120688,0.132528726575761,0.115185992346501,0.284720091926634,0.185511998193554,0.254354897511165,0.0676453284703544,0.0601741066857144,0.188947167768908,0.118270984219571
3,"SM","SA3",25,0.366642780380455,0.138316157038123,0.118102174813051,0.31043382536194,0.200411107215958,0.262125031565591,0.070122738677185,0.062503800733069,0.191391259253285,0.123678919614798
3,"C","SA2",26,0.358997185808836,0.138399540034657,0.118623938965363,0.305969385198807,0.20046215095213,0.333749581938993,0.104959835125126,0.0911411642356787,0.255430026771263,0.152060661162933
3,"BC","SA4",27,0.367642064485298,0.135525568182607,0.115722636986492,0.306559568559027,0.207573541455313,0.323603672882142,0.10092141286833,0.0865961940068843,0.270191846558936,0.124355671618081
3,"C","SA3",28,0.397149495727462,0.143688803485591,0.120583942030345,0.335458856122313,0.235245557532426,0.32219143679309,0.100794784860465,0.0892021983649166,0.230811824637469,0.13446552756688
3,"C","SA1",29,0.420524585680615,0.164785455339068,0.138040972377354,0.358563390005893,0.17397638112103,0.373699604701953,0.121701735122456,0.104332919651822,0.289641311222132,0.156254183110663
